"Family","Rep","Chr8:9719736","ADAR","IFI44","IRF2","IRF8","MDA5","STING","Viperin"
29.077,1,"0",8e-04,4e-04,9e-04,0.002,0.0012,0.0037,8e-04
29.077,2,"1",0.0012,5e-04,0.0082,0.0034,0.0017,0.0057,0.002
29.077,3,"1",0.001,0,0.0096,0.0036,0.0021,0.005,0.0035
29.077,4,"1",0.001,7e-04,0.0082,0.0026,0.0015,0.0076,0.002
29.077,5,"1",0.0011,0,0.0097,0.0031,0.0021,0.0053,0.0028
29.077,6,"0",8e-04,6e-04,0.001,0.0024,0.0014,0.0046,0.0012
29.077,7,"1",0.001,4e-04,0.0097,0.0027,0.0013,0.0078,0.0018
29.077,8,"1",0.001,6e-04,0.0054,0.0024,0.0014,0.0051,0.0034
29.078,1,"0",5e-04,4e-04,0.0106,0.003,0.0019,0.0086,0.0031
29.078,2,"0",7e-04,1e-04,0.0027,0.0022,0.0016,0.0049,0.0018
29.078,3,"0",5e-04,3e-04,0.0059,0.0034,0.0018,0.0076,0.0042
29.078,4,"0",0.001,6e-04,0.0039,0.0023,0.0014,0.0102,0.0015
29.078,5,"0",0.0012,6e-04,0.0076,0.0036,0.0018,0.0089,0.0029
29.078,6,"0",8e-04,6e-04,0.0091,0.0028,0.0022,0.0096,0.0023
29.078,7,"0",4e-04,1e-04,0.0014,0.0016,8e-04,0.0038,6e-04
29.078,8,"0",9e-04,2e-04,0.0139,0.0017,0.0018,0.0068,0.0034
29.08,1,"0",0.0017,4e-04,0.0059,0.0024,0.0034,0.0036,0.0033
29.08,2,"0",8e-04,0.0014,6e-04,0.0036,8e-04,0.0045,0.0012
29.08,3,"0",7e-04,0.0028,0.0011,0.0033,0.0016,0.0028,9e-04
29.08,4,"0",8e-04,6e-04,0.0013,0.0017,0.0015,0.0056,0.0017
29.08,5,"0",7e-04,5e-04,0.0012,0.002,0.001,0.0061,0.0011
29.08,6,"0",8e-04,9e-04,6e-04,9e-04,0.001,0.0045,0.001
29.08,7,"0",6e-04,0.001,4e-04,0.0014,8e-04,0.003,7e-04
29.08,8,"0",9e-04,4e-04,2e-04,0.0021,0.001,0.0037,4e-04
29.085,1,"0",6e-04,9e-04,9e-04,0.0043,0.0013,0.007,0.0018
29.085,2,"0",5e-04,9e-04,4e-04,0.0033,8e-04,0.0053,0.0011
29.085,3,"0",4e-04,5e-04,4e-04,0.0027,8e-04,0.0038,0.0017
29.085,4,"0",9e-04,0.0011,0.0029,0.0049,0.0016,0.0122,0.004
29.085,5,"0",6e-04,7e-04,4e-04,0.0041,0.0013,0.0042,8e-04
29.085,6,"0",6e-04,7e-04,5e-04,0.0045,0.0011,0.0077,0.0021
29.085,7,"0",6e-04,0.0011,5e-04,0.0032,9e-04,0.0052,0.0016
29.086,1,"0",8e-04,2e-04,0,0.0015,0.0012,0.0048,5e-04
29.086,2,"0",9e-04,1e-04,1e-04,0.0027,0.0015,0.0077,0.0013
29.086,3,"0",0.0016,1e-04,0.0028,0.0029,0.0026,0.0126,0.0013
29.086,4,"0",0.001,2e-04,7e-04,0.0018,0.0015,0.0057,9e-04
29.086,5,"0",0.001,1e-04,8e-04,0.0023,0.0014,0.0056,3e-04
29.086,6,"0",9e-04,2e-04,1e-04,0.0018,0.0014,0.007,0.001
29.086,7,"0",9e-04,2e-04,1e-04,0.0018,0.0014,0.007,0.001
29.086,8,"0",0.0015,3e-04,0.0066,0.0035,0.002,0.009,0.0044
